date,MP_event_manual,CBI_event_manual,MP_pm_sum,CBI_pm_sum,fallback_event,n_events,nonmissing_median_events,missing_median_events,mixed_missing_and_nonmissing_events
1990-02-01,0.00874278,-0.00922476,0.0,-0.00048198,False,1.0,1.0,0.0,False
1990-03-01,-0.00297407,-0.02378164,0.0,-0.02675571,False,1.0,1.0,0.0,False
1990-04-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1990-05-01,-0.00897895,-0.00293575,-0.0119147,0.0,False,1.0,1.0,0.0,False
1990-06-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1990-07-01,-0.03707708,-0.033257640000000005,-0.07033472,0.0,False,2.0,2.0,0.0,False
1990-08-01,-0.01167062,0.01167062,0.0,0.0,False,1.0,1.0,0.0,False
1990-09-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1990-10-01,0.03236195,-0.04375112,0.0,-0.011389169999999999,False,2.0,2.0,0.0,False
1990-11-01,0.02254087,-0.018044030000000003,0.00892356,-0.00442672,False,3.0,3.0,0.0,False
1990-12-01,-0.12295979,-0.02388163,-0.1662811,0.01943968,False,3.0,3.0,0.0,False
1991-01-01,-0.08375486,-0.04097224,-0.1247271,0.0,False,1.0,1.0,0.0,False
1991-02-01,-0.06211319,-0.062232659999999995,-0.0590637,-0.06528215,False,3.0,3.0,0.0,False
1991-03-01,-0.08715103,-0.015271400000000001,-0.10242243000000001,0.0,False,2.0,2.0,0.0,False
1991-04-01,-0.13068113999999997,-0.05567759,-0.18635873000000003,0.0,False,2.0,2.0,0.0,False
1991-05-01,0.01565233,-0.01303778,0.00261455,0.0,False,1.0,1.0,0.0,False
1991-06-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1991-07-01,0.00657327,0.00594281,0.01251608,0.0,False,1.0,1.0,0.0,False
1991-08-01,-0.07346897000000001,-0.016340709999999994,-0.14114492,0.05133524,False,2.0,2.0,0.0,False
1991-09-01,0.002442109999999999,-0.00010220000000000021,0.002339909999999999,0.0,False,2.0,2.0,0.0,False
1991-10-01,-0.00917245,-0.01131816,-0.020490610000000003,0.0,False,2.0,2.0,0.0,False
1991-11-01,-0.05429407,-0.04546999,-0.11402382,0.01425976,False,2.0,2.0,0.0,False
1991-12-01,-0.15963955999999999,-0.11607269999999999,-0.3247444,0.04903214,False,4.0,4.0,0.0,False
1992-01-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1992-02-01,0.00014434,0.00442745,0.0,0.00457179,False,1.0,1.0,0.0,False
