date,ip,cpi,unrate,gs2,baa10y,cpi10,expinf5yr,mich,MP_median_fallback,CBI_median_fallback,MP_pm,CBI_pm,fallback_flag,MP_event_manual,CBI_event_manual,n_events,fallback_event,mixed_missing_and_nonmissing_events
1991-10-01,62.1855,137.2,7.0,5.91,1.964090909090909,4.0,3.6371727,3.2,-0.00917245,-0.01131816,-0.02049061,0.0,False,-0.00917245,-0.01131816,2.0,False,False
1991-11-01,62.0871,137.8,7.0,5.56,2.036842105263158,4.0,3.5845422,2.9,-0.05429407,-0.04546999,-0.11402382,0.01425976,False,-0.05429407,-0.04546999,2.0,False,False
1991-12-01,61.7852,138.2,7.3,5.03,2.1704761904761902,4.0,3.5340725,2.7,-0.15963956,-0.1160727,-0.3247444,0.04903214,False,-0.15963955999999999,-0.11607269999999999,4.0,False,False
1992-01-01,61.4616,138.3,7.3,4.96,2.0976190476190477,3.7,3.3735655,2.7,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,False
1992-02-01,61.8955,138.6,7.4,5.21,1.888421052631579,3.7,3.572292,2.6,0.00014434,0.00442745,0.0,0.00457179,False,0.00014434,0.00442745,1.0,False,False
1992-03-01,62.4232,139.1,7.4,5.69,1.7063636363636363,3.7,3.6410505,2.6,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,False
1992-04-01,62.897,139.4,7.4,5.34,1.7285714285714284,3.9,3.6454319,3.0,-0.16561977,-0.09331549,-0.25893526,0.0,False,-0.16561977,-0.09331549,2.0,False,False
1992-05-01,63.104,139.7,7.6,5.23,1.7375,3.9,3.6681125,2.9,0.00903088,0.00335081,0.01238169,0.0,False,0.00903088,0.00335081,1.0,False,False
1992-06-01,63.1363,140.1,7.8,5.05,1.7863636363636362,3.9,3.610977,3.1,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,False
1992-07-01,63.7176,140.5,7.7,4.36,1.9922727272727272,3.75,3.4417603,2.7,-0.04928975,-0.02292631,-0.07221606,-0.0,False,-0.04928975,-0.02292631,1.0,False,False
1992-08-01,63.3613,140.8,7.6,4.19,2.067142857142857,3.75,3.2935208,2.8,0.00108087,0.00417639,0.0,0.00525726,False,0.00108087,0.00417639,1.0,False,False
1992-09-01,63.5703,141.1,7.6,3.89,2.201428571428571,3.75,3.1788101,3.0,-0.00173233,-0.00258281,-0.0,-0.00431514,False,-0.00173233,-0.00258281,1.0,False,False
1992-10-01,63.9995,141.7,7.3,4.08,2.2509523809523806,3.6,3.0571779,2.8,0.01279864,-0.0101156,0.00268304,0.0,False,0.01279864,-0.0101156,1.0,False,False
1992-11-01,64.2422,142.1,7.4,4.58,2.084736842105263,3.6,3.3134226,2.9,-0.0158429,0.00665733,-0.00918557,-0.0,False,-0.0158429,0.00665733,1.0,False,False
1992-12-01,64.3507,142.3,7.4,4.67,2.040454545454545,3.6,3.3930127,2.8,-0.0002423,-0.00937157,-0.0,-0.00961387,False,-0.0002423,-0.00937157,1.0,False,False
1993-01-01,64.5978,142.8,7.3,4.39,2.066315789473684,3.5,3.2961372,2.9,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,False
1993-02-01,64.9089,143.1,7.1,4.1,2.1347368421052635,3.5,3.1436628,3.2,-0.00093416,-0.00700338,-0.0,-0.00793754,False,-0.00093416,-0.00700338,1.0,False,False
1993-03-01,64.8522,143.3,7.0,3.95,2.170434782608696,3.5,2.9893232,3.1,0.00941836,-0.00056493,0.00885343,0.0,False,0.00941836,-0.00056493,1.0,False,False
1993-04-01,65.0301,143.8,7.1,3.84,2.170952380952381,3.7,3.0250809,3.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,False
1993-05-01,64.784,144.2,7.1,3.98,2.1785,3.7,2.9599668,2.9,-0.0217487,-0.00208021,-0.02382891,-0.0,False,-0.0217487,-0.00208021,1.0,False,False
1993-06-01,64.9301,144.3,7.0,4.16,2.106818181818182,3.7,2.9650958,3.5,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,False
1993-07-01,65.1052,144.5,6.9,4.07,2.128095238095238,3.45,2.9083766,3.0,-0.01749569,0.01968495,0.0,0.00218926,False,-0.01749569,0.01968495,1.0,False,False
1993-08-01,65.0267,144.8,6.8,4.0,1.9172727272727272,3.45,2.9558867,3.2,0.00470851,-0.00202547,0.00268304,0.0,False,0.00470851,-0.00202547,1.0,False,False
1993-09-01,65.3717,145.0,6.7,3.85,1.9819047619047616,3.45,2.7977435,3.0,0.00145631,0.00171653,0.0,0.00317284,False,0.00145631,0.00171653,1.0,False,False
1993-10-01,65.8509,145.6,6.8,3.87,1.98,3.45,2.8056769,3.3,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,False
1993-11-01,66.1518,146.0,6.6,4.16,1.9365,3.45,2.8765847,2.8,-0.0032126,0.00237165,-0.00084095,-0.0,False,-0.0032126,0.00237165,1.0,False,False
1993-12-01,66.5436,146.3,6.5,4.21,1.910909090909091,3.45,2.9210619,3.0,-0.01121161,-0.00917829,-0.0203899,-0.0,False,-0.01121161,-0.00917829,1.0,False,False
1994-01-01,66.7351,146.3,6.6,4.14,1.898,3.45,2.9871292,2.8,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,False
1994-02-01,66.774,146.7,6.6,4.47,1.7905263157894735,3.45,2.9222979,2.8,0.10463575,0.02880893,0.13344468,0.0,False,0.10463575,0.02880893,1.0,False,False
