region,year,weight_sum,effective_obs,ridge_rho_effective,smoother_status,leave_out,state_index,solver_backend,max_generalized_residual,max_interval_residual,d_2,kappa5_2,max_distance5_2,median_distance5_2,d_4,kappa5_4,max_distance5_4,median_distance5_4
East South Central,1969,575.345266080411,785.7669686960897,0.08,smoothed,none,0,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
East South Central,1970,708.4634616076513,919.4389153964912,0.08,smoothed,none,1,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
East South Central,1971,824.2855523233513,1062.3144217364681,0.08,smoothed,none,2,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
East South Central,1972,915.5404373093281,1199.9436666166466,0.08,smoothed,none,3,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
East South Central,1973,981.030241394584,1316.5490773012575,0.08,smoothed,none,4,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
East South Central,1974,1024.2003111253307,1402.6697157428466,0.08,smoothed,none,5,scipy.linalg.eigh subset_by_value,3.0965000880685795e-14,3.0965000880685795e-14,1,0.008616335613844991,0.9956825118410763,0.9956825118410763,0,,,
East South Central,1975,1050.63308649306,1458.7882199306403,0.08,smoothed,none,6,scipy.linalg.eigh subset_by_value,3.921561379402663e-14,3.921561379402663e-14,3,0.03470775517405301,0.9955160972623167,0.9814881206192851,0,,,
East South Central,1976,1065.8673721242767,1492.0583154319427,0.08,smoothed,none,7,scipy.linalg.eigh subset_by_value,5.979795324895585e-14,5.979795324895585e-14,4,0.029112770505023644,0.9953294440629635,0.9852088764357878,1,0.009319297781311901,0.9953294440629635,0.9953294440629635
East South Central,1977,1074.239528657766,1510.7103304439509,0.08,smoothed,none,8,scipy.linalg.eigh subset_by_value,7.427796581854107e-14,7.427796581854107e-14,5,0.040255464110783214,0.9937595995856056,0.9840828074527469,2,0.02201144315368839,0.9937595995856056,0.9889212035191762
East South Central,1978,1078.6648713898264,1520.8893118448802,0.08,smoothed,none,9,scipy.linalg.eigh subset_by_value,7.190220621352509e-14,7.190220621352509e-14,5,0.03846652359676839,0.9890363752059813,0.9855926592708705,2,0.022170116309352235,0.9890363752059813,0.988852794903731
East South Central,1979,1080.9169596698416,1526.3211721710607,0.08,smoothed,none,10,scipy.linalg.eigh subset_by_value,7.964142230162434e-14,7.964142230162434e-14,6,0.043705778416262366,0.9920049118749832,0.9842124584209426,2,0.022426407348675504,0.9920049118749832,0.9887177490121424
East South Central,1980,1082.012786959811,1529.1053771174472,0.08,smoothed,none,11,scipy.linalg.eigh subset_by_value,8.343244959875926e-14,8.343244959875926e-14,6,0.04807150232152053,0.99438805757993,0.9815126969581883,2,0.023863997380014178,0.99438805757993,0.9879751399236316
East South Central,1981,1082.5166054317554,1530.4431164222633,0.08,smoothed,none,12,scipy.linalg.eigh subset_by_value,7.419263419103137e-14,7.419263419103137e-14,6,0.05720830324984839,0.995129348613638,0.9766751158236865,2,0.029466663426295638,0.995129348613638,0.9851055066160742
East South Central,1982,1082.7326890105376,1531.0345886848086,0.08,smoothed,none,13,scipy.linalg.eigh subset_by_value,6.114941553024886e-14,6.114941553024886e-14,6,0.06320166333760953,0.9926901845494438,0.9713095564545546,1,0.07125336545092217,0.963715017289384,0.963715017289384
East South Central,1983,1082.818187674114,1531.2728090461096,0.08,smoothed,none,14,scipy.linalg.eigh subset_by_value,4.5064301022058344e-14,4.5064301022058344e-14,5,0.07588060827248294,0.9833011486154994,0.9734169957741434,0,,,
East South Central,1984,1082.8491324492804,1531.35980107278,0.08,smoothed,none,15,scipy.linalg.eigh subset_by_value,3.112277812790378e-14,3.112277812790378e-14,5,0.09334026497690305,0.9742925326971469,0.9572915228652125,0,,,
East South Central,1985,1082.8593149495293,1531.38853807709,0.08,smoothed,none,16,scipy.linalg.eigh subset_by_value,3.043304416095434e-14,3.043304416095434e-14,4,0.11541267956264835,0.9710617086761377,0.9370092382033819,0,,,
