region,year,weight_sum,effective_obs,ridge_rho_effective,smoother_status,leave_out,state_index,solver_backend,max_generalized_residual,max_interval_residual,d_2,kappa5_2,max_distance5_2,median_distance5_2,d_4,kappa5_4,max_distance5_4,median_distance5_4
East South Central,1969,575.345266080411,785.7669686960897,0.08,smoothed,none,0,scipy.linalg.eigh subset_by_value,3.2211899777004736e-13,3.2211899777004736e-13,16,0.0017062928990860256,0.9999802319410079,0.9996753882763103,6,0.00037044530755182283,0.9999802319410079,0.9998723959792151
East South Central,1970,708.4634616076513,919.4389153964912,0.08,smoothed,none,1,scipy.linalg.eigh subset_by_value,2.938060397534902e-13,2.938060397534902e-13,16,0.0018695125461295648,0.9999871784395546,0.9994953897907506,7,0.0004392430854896743,0.9999871784395546,0.9997724095531045
East South Central,1971,824.2855523233513,1062.3144217364681,0.08,smoothed,none,2,scipy.linalg.eigh subset_by_value,2.2866308168934324e-13,2.2866308168934324e-13,17,0.0013772844083928333,0.9999372281857847,0.9996609719361851,7,0.00041511023131381375,0.9998858803356303,0.9998548521501959
East South Central,1972,915.5404373093281,1199.9436666166466,0.08,smoothed,none,3,scipy.linalg.eigh subset_by_value,2.4392229836799795e-13,2.4392229836799795e-13,17,0.0011945140047457245,0.9999960082672877,0.9996748966326026,6,0.000398695901401142,0.9999960082672877,0.9998189251137064
East South Central,1973,981.030241394584,1316.5490773012575,0.08,smoothed,none,4,scipy.linalg.eigh subset_by_value,1.9913438288424864e-13,1.9913438288424864e-13,17,0.0023989535517104205,0.9999702410168537,0.9995031110677176,5,0.0006053953147366317,0.9999702410168537,0.9996321579347333
East South Central,1974,1024.2003111253307,1402.6697157428466,0.08,smoothed,none,5,scipy.linalg.eigh subset_by_value,1.6247397755744635e-13,1.6247397755744635e-13,17,0.0061435330280911705,0.9998131781410907,0.9987761357426596,3,0.001166063729273488,0.9995991395745257,0.9994652271040702
East South Central,1975,1050.63308649306,1458.7882199306403,0.08,smoothed,none,6,scipy.linalg.eigh subset_by_value,1.7065930120052213e-13,1.7065930120052213e-13,18,0.01966359698348033,0.9994864551639646,0.9953177422410223,3,0.002920391917644927,0.9994864551639646,0.9991546734925779
East South Central,1976,1065.8673721242767,1492.0583154319427,0.08,smoothed,none,7,scipy.linalg.eigh subset_by_value,1.3678347507213764e-13,1.3678347507213764e-13,17,0.02474885131497799,0.9990988585915239,0.9933241715399035,3,0.005966681784177918,0.9990988585915239,0.998162281391884
East South Central,1977,1074.239528657766,1510.7103304439509,0.08,smoothed,none,8,scipy.linalg.eigh subset_by_value,1.1968357915022476e-13,1.1968357915022476e-13,19,0.02768078845946672,0.9991548208535551,0.9927562036406128,5,0.01827893532359389,0.9955053051316067,0.9927562036406128
East South Central,1978,1078.6648713898264,1520.8893118448802,0.08,smoothed,none,9,scipy.linalg.eigh subset_by_value,1.1592553656145645e-13,1.1592553656145645e-13,18,0.03831948569292979,0.9998116079509138,0.99069542689454,5,0.02113176464167587,0.9992807904726786,0.9884482070446455
East South Central,1979,1080.9169596698416,1526.3211721710607,0.08,smoothed,none,10,scipy.linalg.eigh subset_by_value,9.738440115626683e-14,9.738440115626683e-14,19,0.05479569383057154,0.9991266144607499,0.9896780820044181,3,0.01866237549130723,0.9984305991159461,0.9896780820044181
East South Central,1980,1082.012786959811,1529.1053771174472,0.08,smoothed,none,11,scipy.linalg.eigh subset_by_value,1.0136061399473119e-13,1.0136061399473119e-13,17,0.06174933653796444,0.9989715133710177,0.9857580368736657,5,0.014850924042129083,0.9989715133710177,0.9978761121395489
East South Central,1981,1082.5166054317554,1530.4431164222633,0.08,smoothed,none,12,scipy.linalg.eigh subset_by_value,1.0106297021765752e-13,1.0106297021765752e-13,15,0.02971200441567303,0.9997243169424243,0.9936761362905664,5,0.011180904455472722,0.9997243169424243,0.9989445665560851
East South Central,1982,1082.7326890105376,1531.0345886848086,0.08,smoothed,none,13,scipy.linalg.eigh subset_by_value,8.531751131682987e-14,8.531751131682987e-14,15,0.031998749693975,0.9996290300947577,0.989968839138961,4,0.018027907912926217,0.9996290300947577,0.9971849583864442
East South Central,1983,1082.818187674114,1531.2728090461096,0.08,smoothed,none,14,scipy.linalg.eigh subset_by_value,7.645099701574753e-14,7.645099701574753e-14,15,0.026246283570706373,0.9996470269109193,0.9941751354932221,5,0.015436687055243859,0.9996470269109193,0.9982803342173753
East South Central,1984,1082.8491324492804,1531.35980107278,0.08,smoothed,none,15,scipy.linalg.eigh subset_by_value,6.86094513685227e-14,6.86094513685227e-14,15,0.03171873033281223,0.999630786172213,0.9883782002771339,4,0.01205947793177776,0.999630786172213,0.9972346408578345
East South Central,1985,1082.8593149495293,1531.38853807709,0.08,smoothed,none,16,scipy.linalg.eigh subset_by_value,5.630675182269228e-14,5.630675182269228e-14,13,0.01954669076245006,0.9995596781000221,0.9934135882831879,4,0.008252098201140456,0.9995596781000221,0.9973250362662184
East South Central,1986,1082.8623482489756,1531.3971114687968,0.08,smoothed,none,17,scipy.linalg.eigh subset_by_value,4.338559335250991e-14,4.338559335250991e-14,13,0.01525479484099989,0.9986986195024656,0.9937499407177574,2,0.005261897396253843,0.9986986195024656,0.9973646891852825
East South Central,1987,1082.86316387108,1531.3994179293845,0.08,smoothed,none,18,scipy.linalg.eigh subset_by_value,4.120307426715427e-14,4.120307426715427e-14,13,0.01290681102946749,0.99885146070011,0.9954406975665353,1,0.0022957594572566606,0.99885146070011,0.99885146070011
East South Central,1988,1082.8633613916752,1531.3999765731699,0.08,smoothed,none,19,scipy.linalg.eigh subset_by_value,3.932562790815431e-14,3.932562790815431e-14,10,0.011354399827729802,0.9994150032456159,0.9956230033766575,1,0.0012792966912937135,0.9993601469483894,0.9993601469483894
East South Central,1989,1082.8634041486735,1531.4000975067966,0.08,smoothed,none,20,scipy.linalg.eigh subset_by_value,3.952241279889601e-14,3.952241279889601e-14,7,0.009551949267485921,0.9997973543922458,0.9981096487093813,1,0.0004052501502660999,0.9997973543922458,0.9997973543922458
East South Central,1990,1082.863410379581,1531.4001151304078,0.08,smoothed,none,21,scipy.linalg.eigh subset_by_value,3.9186406479569514e-14,3.9186406479569514e-14,6,0.011250332683873496,0.9998165481832041,0.9963138370452975,0,,,
East South Central,1991,1082.8633965305132,1531.4000759593307,0.08,smoothed,none,22,scipy.linalg.eigh subset_by_value,3.27943018410904e-14,3.27943018410904e-14,5,0.012086547626205004,0.9996722594757,0.998213255349993,0,,,
East South Central,1992,1082.863300883476,1531.3998054288008,0.08,smoothed,none,23,scipy.linalg.eigh subset_by_value,2.862005272801171e-14,2.862005272801171e-14,4,0.009035671874806023,0.9994373616659972,0.9982773201878196,0,,,
East South Central,1993,1082.8627642784118,1531.3982876850166,0.08,smoothed,none,24,scipy.linalg.eigh subset_by_value,2.3154604712397633e-14,2.3154604712397633e-14,3,0.011669650504136202,0.9980763291792565,0.9978923270762762,0,,,
East South Central,1994,1082.860076599041,1531.390685894109,0.08,smoothed,none,25,scipy.linalg.eigh subset_by_value,2.3323329162559187e-14,2.3323329162559187e-14,2,0.018215135141278645,0.9957997937090141,0.9908381537809013,0,,,
East South Central,1995,1082.8480312375145,1531.3566187764407,0.08,smoothed,none,26,scipy.linalg.eigh subset_by_value,2.3518426185991714e-14,2.3518426185991714e-14,3,0.007109031146415624,0.9992188337748754,0.9956354447048054,0,,,
East South Central,1996,1082.7997246191449,1531.2200244214666,0.08,smoothed,none,27,scipy.linalg.eigh subset_by_value,2.597214211860184e-14,2.597214211860184e-14,3,0.0076859466179741405,0.9982861946134405,0.9959386834051899,0,,,
East South Central,1997,1082.6263687798942,1530.7301853493068,0.08,smoothed,none,28,scipy.linalg.eigh subset_by_value,2.4668752864497594e-14,2.4668752864497594e-14,3,0.007597506457013038,0.9988933536535458,0.9950539595693845,0,,,
East South Central,1998,1082.0696762798102,1529.1606681004432,0.08,smoothed,none,29,scipy.linalg.eigh subset_by_value,2.502457287967723e-14,2.502457287967723e-14,4,0.24180112866165981,0.9998188960813875,0.9947555745615819,0,,,
East South Central,1999,1080.4699807783036,1524.6780766624083,0.08,smoothed,none,30,scipy.linalg.eigh subset_by_value,2.9912253263239754e-14,2.9912253263239754e-14,5,0.1998633975777688,0.9989581330875649,0.987689766288576,0,,,
East South Central,2000,1076.356548665328,1513.3232788464934,0.08,smoothed,none,31,scipy.linalg.eigh subset_by_value,5.183795038720147e-14,5.183795038720147e-14,5,0.19935607222149226,0.9998778669845833,0.9943904256463648,1,0.951770119513997,0.21961302439974467,0.21961302439974467
East South Central,2001,1066.8916405445477,1488.0347865073297,0.08,smoothed,none,32,scipy.linalg.eigh subset_by_value,7.759698246752005e-14,7.759698246752005e-14,6,0.1666899757488123,0.9996430666729782,0.9955667968649997,2,0.4890477360714719,0.9834802318898925,0.6086494412133561
East South Central,2002,1047.4033597584755,1439.1311853804605,0.08,smoothed,none,33,scipy.linalg.eigh subset_by_value,1.1213407084701067e-13,1.1213407084701067e-13,6,0.16681725685160687,0.9992385782434581,0.9954291942967752,2,0.4887745711789786,0.9779434589966689,0.6174994003008443
East South Central,2003,1011.4966416945449,1358.1021242521208,0.08,smoothed,none,34,scipy.linalg.eigh subset_by_value,1.4631681805380878e-13,1.4631681805380878e-13,7,0.1435095316867042,0.9994092069256796,0.9957127526227321,3,0.3291907643090249,0.9945058068834903,0.9680212425027386
East South Central,2004,952.2964718615099,1243.9701695708418,0.08,smoothed,none,35,scipy.linalg.eigh subset_by_value,1.7771550579996347e-13,1.7771550579996347e-13,7,0.1434646555484231,0.9991262809901036,0.9959619890664143,3,0.3294524376750457,0.9933471673753377,0.9487863165145902
East South Central,2005,864.9560568628907,1106.6689025737282,0.08,smoothed,none,36,scipy.linalg.eigh subset_by_value,1.8870434688909991e-13,1.8870434688909991e-13,7,0.1433267278439573,0.9992021108788051,0.9962024275883512,3,0.32964968998891364,0.9918763861578669,0.9074978910840431
East South Central,2006,749.6498708428703,962.7690458906259,0.08,smoothed,none,37,scipy.linalg.eigh subset_by_value,1.7964552156663923e-13,1.7964552156663923e-13,7,0.14285209134042237,0.999708540768824,0.9964497147514074,3,0.32974278229014375,0.990005986276629,0.8153715519370272
East South Central,2007,613.431707320296,827.30226061631,0.08,smoothed,none,38,scipy.linalg.eigh subset_by_value,2.1452826921440356e-13,2.1452826921440356e-13,7,0.14272115351449416,0.9998141853701771,0.996780706435152,3,0.3296869957927708,0.9876087821396389,0.7798676062262492
Middle Atlantic,1969,586.660119425847,789.9626245867225,0.08,smoothed,none,39,scipy.linalg.eigh subset_by_value,1.254729511192013e-13,1.254729511192013e-13,3,0.000597620850924173,0.9998398225453958,0.9997517884362511,1,0.0009761717818636535,0.9995117949369764,0.9995117949369764
