surface_index,outcome,outcome_label,event_bin,event_bin_label,stata_variable,block,bin_block,included_in_fiscal,included_in_fiscal_post,included_in_full_surface
0,log_curr_trans_ind_gov_pc,Government transfers per capita,far_pre,<= -11,hurr_p,fiscal,pre,True,False,True
1,log_curr_trans_ind_gov_pc,Government transfers per capita,pre_9_10,-10 to -9,hurr_f9_10,fiscal,pre,True,False,True
2,log_curr_trans_ind_gov_pc,Government transfers per capita,pre_7_8,-8 to -7,hurr_f7_8,fiscal,pre,True,False,True
3,log_curr_trans_ind_gov_pc,Government transfers per capita,pre_5_6,-6 to -5,hurr_f5_6,fiscal,pre,True,False,True
4,log_curr_trans_ind_gov_pc,Government transfers per capita,pre_3_4,-4 to -3,hurr_f3_4,fiscal,pre,True,False,True
5,log_curr_trans_ind_gov_pc,Government transfers per capita,event_0,0,hurricane,fiscal,early_post,True,True,True
6,log_curr_trans_ind_gov_pc,Government transfers per capita,post_1_2,1 to 2,hurr_1_2,fiscal,early_post,True,True,True
7,log_curr_trans_ind_gov_pc,Government transfers per capita,post_3_4,3 to 4,hurr_3_4,fiscal,early_post,True,True,True
8,log_curr_trans_ind_gov_pc,Government transfers per capita,post_5_6,5 to 6,hurr_5_6,fiscal,late_post,True,True,True
9,log_curr_trans_ind_gov_pc,Government transfers per capita,post_7_8,7 to 8,hurr_7_8,fiscal,late_post,True,True,True
10,log_curr_trans_ind_gov_pc,Government transfers per capita,post_9_10,9 to 10,hurr_9_10,fiscal,late_post,True,True,True
11,log_curr_trans_ind_gov_pc,Government transfers per capita,far_post,>= 11,hurr_m,fiscal,late_post,True,True,True
12,log_curr_trans_ind_bus_pc,Business transfers per capita,far_pre,<= -11,hurr_p,fiscal,pre,True,False,True
13,log_curr_trans_ind_bus_pc,Business transfers per capita,pre_9_10,-10 to -9,hurr_f9_10,fiscal,pre,True,False,True
14,log_curr_trans_ind_bus_pc,Business transfers per capita,pre_7_8,-8 to -7,hurr_f7_8,fiscal,pre,True,False,True
15,log_curr_trans_ind_bus_pc,Business transfers per capita,pre_5_6,-6 to -5,hurr_f5_6,fiscal,pre,True,False,True
16,log_curr_trans_ind_bus_pc,Business transfers per capita,pre_3_4,-4 to -3,hurr_f3_4,fiscal,pre,True,False,True
