date,date_month,state_index,solver_backend,max_generalized_residual,max_interval_residual,d_2,kappa5_2,max_distance5_2,median_distance5_2,d_4,kappa5_4,max_distance5_4,median_distance5_4
1992-11-01,1992-11,0,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1992-12-01,1992-12,1,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1993-01-01,1993-01,2,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1993-02-01,1993-02,3,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1993-03-01,1993-03,4,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1993-04-01,1993-04,5,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1993-05-01,1993-05,6,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1993-06-01,1993-06,7,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1993-07-01,1993-07,8,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1993-08-01,1993-08,9,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1993-09-01,1993-09,10,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1993-10-01,1993-10,11,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1993-11-01,1993-11,12,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1993-12-01,1993-12,13,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1994-01-01,1994-01,14,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1994-02-01,1994-02,15,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1994-03-01,1994-03,16,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1994-04-01,1994-04,17,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1994-05-01,1994-05,18,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1994-06-01,1994-06,19,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1994-07-01,1994-07,20,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1994-08-01,1994-08,21,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1994-09-01,1994-09,22,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1994-10-01,1994-10,23,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1994-11-01,1994-11,24,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1994-12-01,1994-12,25,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1995-01-01,1995-01,26,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1995-02-01,1995-02,27,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1995-03-01,1995-03,28,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1995-04-01,1995-04,29,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1995-05-01,1995-05,30,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1995-06-01,1995-06,31,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1995-07-01,1995-07,32,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1995-08-01,1995-08,33,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
1995-09-01,1995-09,34,scipy.linalg.eigh subset_by_value,0.0,0.0,0,,,,0,,,
