eta,candidate_valid,blocked_predictive_neg_loglik,blocked_predictive_effective_n_median,blocked_predictive_min_training_weight_sum,min_weight,max_weight,max_row_sum_error,max_column_sum_error,symmetry_error,mean_C_relative_error,effective_n_min,effective_n_median,effective_n_max,diagonal_weight_median,grid_extension_round
4.156385439467579e-11,False,136.8688298533024,362.99999999987745,0.9680038911321387,0.0026666749519131056,0.002666682724351758,4.081112845888413e-06,4.081112846332502e-06,0.0,4.081112495015722e-06,374.9969391838185,374.9969391843431,374.99693918459707,0.002666679827846784,2
9.81158469677862e-11,False,136.8688330779505,362.999999999317,0.9680008376995644,0.002666663228376636,0.0026666815760208683,1.0102117018462309e-06,1.0102117025123647e-06,0.0,1.0102112190898435e-06,374.99924234078526,374.99924234196294,374.9992423425464,0.0026666747385257327,2
1.602366757671801e-10,False,136.86883662017976,362.99999999817874,0.9679994813155528,0.0026666558537802383,0.002666685817983285,2.993220908908967e-07,2.993220912239636e-07,0.0,2.993219127927402e-07,375.0002244871273,375.0002244894976,375.0002244912105,0.002666674651423958,1
2.3161276947017585e-10,False,136.8688406902107,362.99999999619473,0.9679988737596819,0.00266665000006212,0.002666693311532612,8.216117423076597e-07,8.216117427517489e-07,0.0,8.216116583780343e-07,375.00061620058824,375.0006162053244,375.0006162089341,0.002666677170934317,2
3.616182987027312e-10,False,136.8688481035471,362.9999999907242,0.967999466060993,0.0026666440182357178,0.002666711640570507,1.784326664200364e-08,1.784326708609285e-08,0.0,1.7843138879512423e-08,375.00001336082823,375.0000133721578,375.00001338097877,0.0026666864401949817,1
5.467462865530562e-10,False,136.8688586604816,362.99999997879564,0.9679993347598479,0.002666632814938309,0.0026667350558381288,1.1976201674812614e-07,1.1976201674812614e-07,0.0,1.1976169674102846e-07,374.99991012924227,374.99991015540525,374.9999101756956,0.0026666969543650033,2
8.160915304225364e-10,False,136.8688740205993,362.9999999527579,0.9679986974040999,0.0026666152856840214,0.0026667678933378096,1.411154821884253e-07,1.411154825214922e-07,0.0,1.4111530291611464e-07,375.00010572661176,375.00010578450497,375.00010582956355,0.0026667110219597426,1
1.2906520764954976e-09,False,136.86890108558023,362.9999998818419,0.967998192907785,0.002666586104920798,0.0026668274532002227,3.8147965453205757e-08,3.814796567525036e-08,0.0,3.8147705944019266e-08,374.999971114527,374.99997125902496,374.9999713720135,0.0026667375112621777,2
1.8417358535688633e-09,False,136.86893251793433,362.9999997594013,0.9679974719157618,0.0026665518469947656,0.002666896244147768,1.066961590190374e-07,1.0669615968517121e-07,0.0,1.0669589093649869e-07,374.99991941894706,374.9999197129323,374.99991994309505,0.002666767899346221,1
3.0467198836667344e-09,False,136.8690012587303,362.9999993416003,0.9679956833718575,0.002666476357538844,0.0026670460737620483,3.749753241244491e-08,3.749753241244491e-08,0.0,3.749749852632302e-08,374.9999703473313,374.999971151028,374.99997178124755,0.0026668337596625893,2
4.156385439467579e-09,True,136.86906457607793,362.99999877469764,0.967994057452654,0.0026664069003489352,0.0026671841064703824,4.420618537892551e-09,4.420618759937156e-09,0.0,4.420474280152682e-09,375.0000004686791,375.00000196457665,375.0000031373593,0.002666894466917955,1
7.018344303933221e-09,False,136.86922794175314,362.9999965066078,0.967989996529995,0.002666228138300415,0.002667540460466087,2.4199241721589715e-08,2.4199242609768135e-08,0.0,2.419914032130744e-08,374.9999737348401,374.99997799944344,374.9999813433329,0.0026670513964154193,0
7.192102518236318e-09,True,136.8692378631004,362.99999633150674,0.9679897317975193,0.0026662172355475765,0.0026675620450748337,7.146826463966249e-09,7.146826908055459e-09,0.0,7.146654814925515e-09,374.9999861173608,374.9999905957716,374.9999941072303,0.0026670608736815596,2
